Rk,Player,PTS,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
134,Al-Amir Dawes,554,2023-24,Seton Hall,37,37,1294,188,449,97,215,91,234,87,93,11,94,105,84,43,4,72,56,554,0.419,0.451,0.389,0.935,0.562,0.52,G,SR,al-amir-dawes-1
135,Dre Davis,554,2023-24,Seton Hall,37,36,1219,207,421,172,321,35,100,105,125,66,154,220,60,34,49,56,84,554,0.492,0.536,0.35,0.84,0.577,0.533,G,SR,dre-davis-3
136,JP Pegues,553,2023-24,Furman,30,30,1022,172,410,89,181,83,229,126,144,20,109,129,144,35,6,62,52,553,0.42,0.492,0.362,0.875,0.578,0.521,G,JR,jp-pegues-1
137,Kadary Richmond,551,2023-24,Seton Hall,35,34,1145,202,458,185,395,17,63,130,161,59,185,244,180,77,22,107,61,551,0.441,0.468,0.27,0.807,0.515,0.46,G,SR,kadary-richmond-1
138,Bruce Thornton,550,2023-24,Ohio State,35,35,1177,181,424,123,250,58,174,130,153,15,114,129,168,41,1,42,59,550,0.427,0.492,0.333,0.85,0.554,0.495,G,SO,bruce-thornton-1
139,Jakorie Smith,549,2023-24,Tarleton State,35,35,1054,194,480,128,276,66,204,95,113,36,125,161,71,59,13,49,66,549,0.404,0.464,0.324,0.841,0.514,0.473,F,SR,jakorie-smith-1
140,Rayquan Brown,549,2023-24,Mississippi Valley State,30,30,1063,197,448,156,321,41,127,114,160,69,112,181,35,33,19,64,52,549,0.44,0.486,0.323,0.713,0.524,0.485,G,SR,rayquan-brown-1
141,Trent McLaughlin,549,2023-24,Northern Arizona,33,32,1151,184,462,110,237,74,225,107,139,13,91,104,63,48,7,69,62,549,0.398,0.464,0.329,0.77,0.52,0.478,G,JR,trenton-mclaughlin-1
142,Jyare Davis,547,2023-24,Delaware,32,32,1063,200,429,180,351,20,78,127,156,52,188,240,78,24,24,58,69,547,0.466,0.513,0.256,0.814,0.544,0.49,F,JR,jyare-davis-1
143,Tyler Stephenson-Moore,547,2023-24,Stony Brook,33,32,1148,177,397,90,197,87,200,106,125,38,88,126,38,37,22,37,68,547,0.446,0.457,0.435,0.848,0.599,0.555,G,SR,tyler-stephenson-moore-1
144,Dawson Garcia,545,2023-24,Minnesota,31,31,993,187,385,158,294,29,91,142,177,52,155,207,51,24,32,61,70,545,0.486,0.537,0.319,0.802,0.581,0.523,F,JR,dawson-garcia-1
145,Jordan Derkack,545,2023-24,Merrimack,32,32,1056,172,369,139,249,33,120,168,232,37,155,192,125,67,7,127,76,545,0.466,0.558,0.275,0.724,0.569,0.511,G,SO,jordan-derkack-1
146,Kevin Miller,545,2023-24,Wake Forest,35,35,1120,188,405,150,302,38,103,131,155,16,82,98,124,50,1,88,67,545,0.464,0.497,0.369,0.845,0.569,0.511,G,SO,kevin-miller-3
147,Marcus Tsohonis,545,2023-24,Long Beach State,31,27,900,188,470,149,337,39,133,130,169,31,68,99,90,40,5,61,55,545,0.4,0.442,0.293,0.769,0.495,0.441,G,SR,marcus-tsohonis-1
148,Deyton Albury,544,2023-24,Queens (NC),32,28,911,187,388,167,333,20,55,150,200,26,161,187,117,38,12,104,84,544,0.482,0.502,0.364,0.75,0.563,0.508,G,JR,deyton-albury-1
149,Joseph Girard III,544,2023-24,Clemson,36,36,1182,162,377,57,123,105,254,115,123,8,107,115,105,22,4,55,51,544,0.43,0.463,0.413,0.935,0.625,0.569,G,SR,joseph-girardiii-1
150,Keenon Cole,544,2023-24,Lindenwood,30,30,1039,172,428,139,302,33,126,167,205,42,144,186,22,19,14,69,73,544,0.402,0.46,0.262,0.815,0.518,0.44,F,SR,keenon-cole-1
151,Tristan Da Silva,544,2023-24,Colorado,34,34,1150,197,400,133,238,64,162,86,103,32,140,172,82,39,19,61,68,544,0.493,0.559,0.395,0.835,0.606,0.573,F,SR,tristan-dasilva-1
152,Tyren Moore,543,2023-24,Georgia Southern,32,29,898,187,400,114,220,73,180,96,111,11,79,90,98,36,3,62,50,543,0.468,0.518,0.406,0.865,0.6,0.559,G,SR,tyren-moore-1
153,Jayden Stone,542,2023-24,Detroit Mercy,26,25,934,188,445,126,246,62,199,104,131,23,122,145,69,40,7,66,45,542,0.422,0.512,0.312,0.794,0.534,0.492,G,SR,jayden-stone-1
154,Josh Oduro,542,2023-24,Providence,34,34,1028,202,383,186,328,16,55,122,149,77,178,255,68,29,43,71,108,542,0.527,0.567,0.291,0.819,0.597,0.548,F,SR,josh-oduro-1
155,Martaz Robinson,542,2023-24,Delaware State,34,34,1175,181,433,151,339,30,94,150,177,47,174,221,76,67,2,87,96,542,0.418,0.445,0.319,0.847,0.524,0.453,F,SR,martez-robinson-1
156,Kalen Williams,540,2023-24,Texas A&M–Commerce,33,33,1042,193,435,146,284,47,151,107,141,34,81,115,95,35,2,67,52,540,0.444,0.514,0.311,0.759,0.538,0.498,G,SR,kalen-williams-1
157,Noah Reynolds,540,2023-24,Green Bay,27,26,901,202,395,168,295,34,100,102,129,16,83,99,121,21,14,73,62,540,0.511,0.569,0.34,0.791,0.592,0.554,G,JR,noah-reynolds-1
158,Sam Griffin,540,2023-24,Wyoming,32,32,1101,179,415,103,221,76,194,106,127,8,111,119,110,21,0,78,30,540,0.431,0.466,0.392,0.835,0.568,0.523,G,SR,sam-griffin-1
159,Armando Bacot,538,2023-24,North Carolina,37,37,1123,194,359,190,349,4,10,146,187,117,263,380,56,22,56,60,100,538,0.54,0.544,0.4,0.781,0.601,0.546,F,SR,armando-bacot-1
160,Emanuel Miller,537,2023-24,TCU,34,34,1110,189,389,158,308,31,81,128,157,74,133,207,88,36,14,51,53,537,0.486,0.513,0.383,0.815,0.579,0.526,F,SR,emanuel-miller-1
161,Jamison Battle,537,2023-24,Ohio State,35,35,1099,179,382,88,172,91,210,88,95,42,140,182,49,14,8,55,71,537,0.469,0.512,0.433,0.926,0.629,0.588,F,SR,jamison-battle-1
162,Jayden Epps,537,2023-24,Georgetown,29,28,1010,177,452,113,242,64,210,119,156,8,66,74,123,34,11,98,49,537,0.392,0.467,0.305,0.763,0.51,0.462,G,SO,jayden-epps-1
163,Rasheed Bello,537,2023-24,Purdue Fort Wayne,36,36,1170,198,435,149,294,49,141,92,119,17,86,103,153,67,10,93,68,537,0.455,0.507,0.348,0.773,0.546,0.511,G,JR,rasheed-bello-1
164,Pop Isaacs,536,2023-24,Texas Tech,34,34,1114,168,481,95,232,73,249,127,152,9,101,110,118,35,3,86,58,536,0.349,0.409,0.293,0.836,0.484,0.425,G,SO,pop-isaacs-1
165,B.J. Omot,535,2023-24,North Dakota,32,32,1126,192,461,139,273,53,188,98,140,42,93,135,46,24,29,43,50,535,0.416,0.509,0.282,0.7,0.507,0.474,F,SO,bj-omot-1
166,Isaac Jones,535,2023-24,Washington State,35,34,1111,199,346,198,332,1,14,136,191,80,185,265,54,19,37,67,71,535,0.575,0.596,0.071,0.712,0.613,0.577,F,SR,isaac-jones-3
167,Kimani Hamilton,535,2023-24,High Point,36,36,1132,179,382,148,272,31,110,146,183,104,156,260,83,43,26,58,98,535,0.469,0.544,0.282,0.798,0.57,0.509,F,SO,kimani-hamilton-1
168,Amar'e Marshall,534,2023-24,Albany (NY),32,32,1030,192,442,144,313,48,129,102,134,38,122,160,68,59,19,90,84,534,0.434,0.46,0.372,0.761,0.528,0.489,G,SO,amare-marshall-1
169,Travis Evee,534,2023-24,Rice,32,32,1077,184,439,110,223,74,216,92,111,13,96,109,67,33,9,58,59,534,0.419,0.493,0.343,0.829,0.543,0.503,G,SR,travis-evee-1
170,Tyson Degenhart,534,2023-24,Boise State,32,32,1060,178,354,148,259,30,95,148,187,70,127,197,48,35,9,32,61,534,0.503,0.571,0.316,0.791,0.603,0.545,F,JR,tyson-degenhart-1
171,Vladislav Goldin,534,2023-24,Florida Atlantic,34,34,850,204,303,204,303,0,0,126,190,84,151,235,25,17,56,55,76,534,0.673,0.673,,0.663,0.679,0.673,F,SR,vladislav-goldin-1
172,Ebby Asamoah,532,2023-24,East Tennessee State,34,34,1038,175,434,73,153,102,281,80,103,20,113,133,26,25,22,56,82,532,0.403,0.477,0.363,0.777,0.551,0.521,G,SR,ebby-asamoah-1
173,Jeremiah Hernandez,532,2023-24,Southern Indiana,31,28,973,153,367,127,285,26,82,200,247,22,79,101,57,45,7,81,64,532,0.417,0.446,0.317,0.81,0.549,0.452,G,JR,jeremiah-hernandez-1
174,Marcus Tankersley,532,2023-24,Detroit Mercy,32,30,1150,197,422,178,354,19,68,119,148,24,96,120,70,27,2,67,48,532,0.467,0.503,0.279,0.804,0.54,0.489,G,SO,marcus-tankersley-1
175,Achor Achor,530,2023-24,Samford,33,33,749,191,326,164,264,27,62,121,170,72,130,202,50,27,59,63,95,530,0.586,0.621,0.435,0.712,0.652,0.627,F,JR,achor-achor-1
176,Dakota Leffew,529,2023-24,Mount St. Mary's,30,30,1061,195,454,121,251,74,203,65,85,15,113,128,118,45,18,86,53,529,0.43,0.482,0.365,0.765,0.535,0.511,G,SR,dakota-leffew-1
177,D.J. Burns Jr.,529,2023-24,NC State,41,40,1020,231,435,230,430,1,5,66,97,52,112,164,117,18,26,76,100,529,0.531,0.535,0.2,0.68,0.55,0.532,F,SR,dj-burns-1
178,Sean East II,529,2023-24,Missouri,30,30,1029,187,359,151,279,36,80,119,139,23,82,105,121,33,5,91,76,529,0.521,0.541,0.45,0.856,0.622,0.571,G,SR,sean-east-1
179,Dominic Brewton,528,2023-24,Cal State Fullerton,31,28,1025,203,448,171,351,32,97,90,132,29,121,150,75,45,7,66,55,528,0.453,0.487,0.33,0.682,0.517,0.489,G,SR,dominic-brewton-1
180,Mikeal Brown-Jones,528,2023-24,UNC Greensboro,28,28,793,174,322,149,264,25,58,155,197,59,151,210,30,17,24,48,73,528,0.54,0.564,0.431,0.787,0.635,0.579,F,SR,mikeal-brown-jones-1
181,Norchad Omier,528,2023-24,Miami (FL),31,31,948,198,359,174,291,24,68,108,144,105,204,309,38,47,24,72,91,528,0.552,0.598,0.353,0.75,0.618,0.585,F,JR,norchad-omier-1
182,Jack Forrest,527,2023-24,Bucknell,33,33,1190,180,441,94,209,86,232,81,101,23,150,173,50,35,9,57,71,527,0.408,0.45,0.371,0.802,0.539,0.506,G,SR,jack-forrest-1
183,Alston Mason,526,2023-24,Missouri State,30,30,1058,180,426,108,222,72,204,94,120,11,79,90,107,25,3,71,63,526,0.423,0.486,0.353,0.783,0.545,0.507,G,JR,alston-mason-1
184,Austin Benigni,526,2023-24,Navy,31,31,1039,165,426,146,349,19,77,177,209,15,75,90,119,22,3,73,83,526,0.387,0.418,0.247,0.847,0.501,0.41,G,SO,austin-benigni-1
185,Sean Pedulla,526,2023-24,Virginia Tech,32,32,1026,172,406,119,243,53,163,129,161,19,117,136,148,37,3,104,71,526,0.424,0.49,0.325,0.801,0.545,0.489,G,JR,sean-pedulla-1
186,Ansley Almonor,525,2023-24,FDU,32,31,1024,178,408,85,172,93,236,76,95,28,134,162,54,15,22,50,72,525,0.436,0.494,0.394,0.8,0.579,0.55,F,JR,ansley-almonor-1
187,Dionte Bostick,524,2023-24,Cal State Northridge,34,34,1147,196,440,147,297,49,143,83,120,31,104,135,59,49,7,72,92,524,0.445,0.495,0.343,0.692,0.527,0.501,G,SR,dionte-bostick-1
188,Jakobi Heady,524,2023-24,Bethune-Cookman,34,33,1114,197,411,157,287,40,124,90,119,48,101,149,43,46,10,58,43,524,0.479,0.547,0.323,0.756,0.56,0.528,G,SO,jakobi-heady-1
189,Jalen Sullinger,524,2023-24,Kent State,34,30,1168,183,432,100,220,83,212,75,88,21,67,88,83,34,5,72,73,524,0.424,0.455,0.392,0.852,0.553,0.52,G,JR,jalen-sullinger-1
190,Jaylin Sellers,524,2023-24,UCF,33,32,1053,173,413,121,238,52,175,126,152,46,72,118,36,35,4,42,58,524,0.419,0.508,0.297,0.829,0.54,0.482,G,JR,jaylin-sellers-1
191,Kevin Cross,524,2023-24,Tulane,30,30,1082,177,345,155,293,22,52,148,181,28,191,219,138,38,28,89,70,524,0.513,0.529,0.423,0.818,0.608,0.545,F,SR,kevin-cross-1
192,Isaiah Crawford,523,2023-24,Louisiana Tech,32,32,1053,182,375,141,276,41,99,118,162,60,138,198,76,68,55,81,75,523,0.485,0.511,0.414,0.728,0.579,0.54,F,SR,isaiah-crawford-1
193,Gibson Jimerson,522,2023-24,Saint Louis,33,33,1180,161,404,82,184,79,220,121,140,29,66,95,69,22,7,58,34,522,0.399,0.446,0.359,0.864,0.555,0.496,G,SR,gibson-jimerson-1
194,Tanner Holden,522,2023-24,Wright State,32,29,1057,194,351,180,316,14,35,120,172,54,151,205,115,59,12,79,85,522,0.553,0.57,0.4,0.698,0.603,0.573,G,SR,tanner-holden-1
195,Terrell Burden,522,2023-24,Kennesaw State,31,30,972,175,396,140,283,35,113,137,213,23,87,110,195,44,11,88,66,522,0.442,0.495,0.31,0.643,0.525,0.486,G,SR,terrell-burden-1
196,Jalen Leach,519,2023-24,Fairfield,32,29,1048,181,371,135,241,46,130,111,124,35,97,132,95,59,3,53,51,519,0.488,0.56,0.354,0.895,0.604,0.55,G,SR,jalen-leach-1
197,Matthew Murrell,519,2023-24,Ole Miss,32,32,1052,178,384,100,188,78,196,85,115,18,98,116,76,50,8,54,64,519,0.464,0.532,0.398,0.739,0.592,0.565,G,SR,matthew-murrell-1
198,Max Shulga,519,2023-24,VCU,37,37,1213,146,327,60,120,86,207,141,161,14,158,172,135,34,10,75,69,519,0.446,0.5,0.415,0.876,0.643,0.578,G,SR,max-shulga-1
199,Myles Rice,519,2023-24,Washington State,35,35,1161,190,433,154,302,36,131,103,127,15,93,108,134,56,6,90,96,519,0.439,0.51,0.275,0.811,0.526,0.48,G,FR,myles-rice-1
200,Tylor Perry,519,2023-24,Kansas State,34,34,1238,133,372,40,94,93,278,160,176,20,82,102,148,38,3,92,79,519,0.358,0.426,0.335,0.909,0.57,0.483,G,SR,tylor-perry-1
