,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
51,Christian Koloko,2019-20,Arizona,Pac-12,FR,28.0,0.0,8.3,1.0,2.1,0.483,1.0,2.0,0.491,0.0,0.0,0.0,0.3,0.7,0.35,1.0,1.4,2.4,0.2,0.3,0.9,0.1,1.3,2.3,,8.4,,,,,,
52,Christian Koloko,2020-21,Arizona,Pac-12,SO,26.0,19.0,17.3,2.0,3.8,0.52,2.0,3.7,0.526,0.0,0.0,0.0,1.3,2.2,0.625,2.2,2.6,4.8,0.3,0.5,1.3,0.7,2.7,5.3,,8.18,,,,,,
53,Christian Koloko,2021-22,Arizona,Pac-12,JR,37.0,37.0,25.4,4.9,7.8,0.635,4.9,7.7,0.642,0.0,0.1,0.0,2.7,3.7,0.735,2.6,4.7,7.3,1.4,0.8,2.8,1.6,2.8,12.6,,6.84,,,,,,
54,Jaylin Williams,2020-21,Arkansas,SEC,FR,26.0,5.0,15.9,1.3,2.7,0.478,1.0,1.8,0.565,0.3,0.9,0.304,0.9,1.2,0.742,1.1,3.5,4.7,0.8,0.5,0.7,0.9,1.9,3.7,,7.18,,,,,,
55,Jaylin Williams,2021-22,Arkansas,SEC,SO,37.0,35.0,31.6,3.8,8.3,0.461,3.4,6.4,0.527,0.5,1.9,0.239,2.8,3.8,0.729,1.5,8.3,9.8,2.6,1.3,1.1,1.8,2.6,10.9,,8.62,,,,,,
56,Max Christie,2021-22,Michigan State,Big Ten,FR,35.0,35.0,30.8,3.2,8.4,0.382,2.1,4.9,0.429,1.1,3.5,0.317,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,,9.96,,,,,,
57,Kennedy Chandler,2021-22,Tennessee,SEC,FR,34.0,34.0,30.8,5.4,11.5,0.464,3.9,7.8,0.504,1.4,3.8,0.383,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2.0,13.9,,9.94,,,,,,
58,Bryce McGowens,2021-22,Nebraska,Big Ten,FR,31.0,31.0,33.3,5.2,12.8,0.403,3.9,8.1,0.478,1.3,4.7,0.274,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,,8.25,,,,,,
59,E.J. Liddell,2019-20,Ohio State,Big Ten,FR,31.0,0.0,16.6,2.3,4.9,0.464,2.1,4.1,0.52,0.2,0.8,0.192,2.0,2.7,0.718,1.1,2.6,3.8,0.5,0.4,0.9,0.9,1.9,6.7,,10.24,,,,,,
60,E.J. Liddell,2020-21,Ohio State,Big Ten,SO,29.0,29.0,29.4,5.4,11.5,0.474,4.5,8.7,0.518,0.9,2.8,0.338,4.3,5.8,0.746,1.8,4.9,6.7,1.8,0.7,1.1,1.6,3.0,16.2,,12.19,,,,,,
