,id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,season,player_id
113,15536346,19,3,5,0,0,0,0,1,6,7,1,1,1,1,0,6,0.6,0.0,0.0,2024,83
114,15536347,35,6,12,2,4,1,4,3,2,5,2,5,1,1,4,15,0.5,0.5,0.25,2024,38017677
115,15536348,37,7,16,2,6,14,16,1,4,5,12,1,1,3,1,30,0.4375,0.3333333,0.875,2024,490
116,15536349,28,2,6,2,6,2,2,0,2,2,2,0,2,2,3,8,0.3333333,0.3333333,1.0,2024,53
117,15536351,11,1,2,0,1,1,1,0,1,1,2,0,0,0,1,3,0.5,0.0,1.0,2024,4197387
118,15536354,28,11,12,0,0,6,6,4,4,8,1,0,3,2,1,28,0.9166667,0.0,1.0,2024,3547244
119,15536355,19,2,8,1,4,2,4,1,0,1,0,0,0,1,2,7,0.25,0.25,0.5,2024,1028028244
120,15536358,13,3,4,1,2,4,4,0,2,2,4,1,0,1,3,11,0.75,0.5,1.0,2024,17896073
121,15536359,18,0,7,0,5,0,0,0,3,3,6,0,0,2,2,0,0.0,0.0,0.0,2024,3547251
122,15536360,5,0,1,0,1,0,0,0,2,2,0,0,0,2,1,0,0.0,0.0,0.0,2024,666442
123,15536361,28,4,9,1,2,1,3,4,2,6,4,0,0,0,2,10,0.4444444,0.5,0.3333333,2024,56677827
124,15536362,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,2024,1028025497
125,15536363,22,6,9,6,9,0,0,1,2,3,1,0,2,1,1,18,0.6666667,0.6666667,0.0,2024,196
126,15536364,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,2024,38017724
127,15536365,5,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,2024,56677839
128,15536366,12,1,4,1,2,0,2,2,1,3,0,1,2,0,1,3,0.25,0.5,0.0,2024,229
129,15536367,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,251
130,15536368,16,2,4,1,3,2,2,1,5,6,2,0,0,1,2,7,0.5,0.3333333,1.0,2024,462
131,15536375,24,3,4,0,0,0,0,2,3,5,8,0,1,6,5,6,0.75,0.0,0.0,2024,417
132,15536376,32,4,10,1,6,5,6,0,4,4,0,1,1,0,3,14,0.4,0.1666667,0.8333333,2024,666679
133,15536377,30,3,10,2,7,0,0,3,5,8,1,1,2,1,5,8,0.3,0.2857143,0.0,2024,158
134,15536378,34,14,27,7,13,1,1,2,3,5,3,3,0,2,4,36,0.5185185,0.5384616,1.0,2024,17896048
